nome_fantasia,razao_social,cep,lat,long,bairro,endereco
PIZZA MATUTA,PIZZA MATUTA LTDA,51021130,-8.1276148,-34.9066946,BOA VIAGEM,"RUA CORONEL ANIZIO RODRIGUES COELHO, 110"
PIZZA MIA,LISIANE GRAZIADIO BORBA,50610090,-8.0573561,-34.9073238,MADALENA,"AVENIDA VISCONDE DE ALBUQUERQUE, 81"
PIZZA NOSTRA,PIZZA NOSTRA RESTAURANTE E PIZZARIA LTDA,50761000,-8.0684037,-34.9282451,SAN MARTIN,"AVENIDA GENERAL SAN MARTIN, 1940"
PIZZA PALACE,RIBEIROS COMERCIO DE ALIMENTOS LTDA,50781600,-8.0822526,-34.9398402,JARDIM SAO PAULO,"AVENIDA SAO PAULO, 485"
PIZZA TOWN,PIZZA TOWN LTDA,52011010,-8.050649,-34.9032196,GRACAS,"RUA DAS PERNAMBUCANAS, 226"
PIZZAIOLLO'S,K P DO NASCIMENTO PIZZARIA,50030140,-8.0631399,-34.8722939,RECIFE,"RUA DONA MARIA CESAR, 170"
PIZZARIA,POMAR COMIDAS SAUDAVEIS E RESTAURANTE LTDA,51020900,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
PIZZARIA ATLANTICO,EDI PIZZARIA LTDA,52010000,-8.0623474,-34.8992349,PAISSANDU,"RUA PAISSANDU, 667"
PIZZARIA ATLANTICO,ATLANTICO CENTER PIZZARIA LTDA,52051020,-8.0310709,-34.9027011,TAMARINEIRA,"RUA CONEGO BARATA, 275"
PIZZARIA ATLANTICO,RECIFE ATLANTICO LTDA,51350670,-8.1113247,-34.9263274,IPSEP,"AVENIDA RECIFE, 2703"
PIZZARIA ATLANTICO,IGI PIZZARIA LTDA,51350670,-8.1112158,-34.9263431,IPSEP,"AVENIDA RECIFE, 2691"
PIZZARIA BOM SABOR,PIZZARIA BOM SABOR LTDA,52191040,-7.9995962,-34.9272586,NOVA DESCOBERTA,"RUA CORREGO DA AREIA, 239"
PIZZARIA CAPITAO GANCHO,JDS PIZZARIA LTDA,52050217,-8.0366205,-34.9000025,GRACAS,"RUA CAPITAO SAMPAIO XAVIER, 299"
PIZZARIA CAPITAO GANCHO,PIZZARIA CAPITAO GANCHO LTDA,51021060,-8.129053,-34.9023261,BOA VIAGEM,"AVENIDA FERNANDO SIMOES BARBOSA, 20"
PIZZARIA DANIEL PAULISTA,PIZZARIA DANIEL PAULISTA LTDA,51320030,-8.1330287,-34.948669,COHAB,"RUA DR OTAVIO DE MORAES VASCONCELOS, 43"
PIZZARIA DO TONHAO,C A V SOARES PIZZARIA E RESTAURANTE,52030140,-8.0355126,-34.8860735,ENCRUZILHADA,"RUA LARGA DO FEITOSA, 138"
PIZZARIA E HAMBURGUERIA BELEM,MARCIA CRISTINA N C DA SILVA PIZZARIA LTDA,52041695,-8.033273,-34.8852382,HIPODROMO,"ESTRADA DE BELEM, 751"
PIZZARIA E RESTAURANTE ATLANTICO,PIZZARIA ATLANTICO LTDA,52011040,-8.0516857,-34.8965932,GRACAS,"AVENIDA RUI BARBOSA, 500"
PIZZARIA E RESTAURANTE DOS GEMEOS,D B S PIZZARIA LTDA,50910260,-8.0802259,-34.9419765,JARDIM SAO PAULO,"RUA LEOBINA PEREIRA, 1309"
PIZZARIA FAMILIA LOPES,FAMILIA LOPES PIZZARIA E RESTAURANTE LTDA,52081550,-7.991563,-34.9293956,BREJO DA GUABIRABA,"AVENIDA VEREADOR OTACILIO AZEVEDO, 1000"
PIZZARIA HAMBURGUERIA VEREDAS DELIVERY BUFFET,L. V RESTAURANTE PIZZARIA E HAMBURGUERIA BUFFET LTDA,52041695,-8.033273,-34.8852382,HIPODROMO,"ESTRADA DE BELEM, 751"
PIZZARIA MATUTA DELIVERY,VICTOR NERI NASCIMENTO PIZZARIA LTDA,52061420,-8.0342509,-34.9186374,CASA FORTE,"PRACA DE CASA FORTE, 409"
PIZZARIA MUSTANG,WW PIZZARIA E RESTAURANTE MUSTANGUE LTDA,50070075,-8.0592331,-34.8879208,BOA VISTA,"RUA JOSE DE ALENCAR, 44"
PIZZARIA O BRAZZA,O BRAZZA PIZZARIA E RESTAURANTE LTDA,51290600,-8.1237213,-34.9497104,COHAB,"RUA GENERAL VIRIATO DE MEDEIROS, 195"
PIZZARIA PALERMO,PIZZARIA PALERMO LTDA,52020015,-8.0469087,-34.894739,ESPINHEIRO,"RUA DA HORA, 70"
PIZZARIA PALERMO,RESTAURANTE E PIZZARIA PALERMO LTDA,52020015,-8.0469087,-34.894739,ESPINHEIRO,"RUA DA HORA, 70"
PIZZARIA RAMON,RAMON BAR LTDA,51021480,-8.1295591,-34.9032162,BOA VIAGEM,"RUA OLAVO BILAC, 20"
PIZZARIA VENTURA,LUCIANO VENTURA DA SILVA LTDA,52040000,-8.0322949,-34.883504,CAMPO GRANDE,"ESTRADA DE BELEM, 967"
PIZZERIA ARMAZEM GUIMARAES,PIZZERIA ARMAZEM GUIMARAES RM LTDA,51110160,-8.0859828,-34.8941406,PINA,"AVENIDA REPUBLICA DO LIBANO, 251"
PIZZERIA ARMAZEM GUIMARAES,PIZZERIA ARMAZEM GUIMARAES RIO MAR LTDA,51021550,-8.1312184,-34.9050804,BOA VIAGEM,"RUA FRANCISCO DE BARROS BARRETO, 376"
PIZZERIA THE CHAPLINS,JLAB PIZZARIA E PANIFICADORA LTDA,52020070,-8.0439353,-34.8926962,ESPINHEIRO,"RUA BARAO DE ITAMARACA, 54"
PIZZERIA VESUVIO DELIVERY,PIZZERIA VESUVIO LTDA,51030090,-8.1352022,-34.9075028,BOA VIAGEM,"RUA ALMIRANTE TAMANDARE, 259"
PLANET REFEICOES,M. A. SOUZA ROCHA,50030230,-8.0558542,-34.8726445,RECIFE,"CAIS DO APOLO, 739"
PLANETARIO,PLANETARIO SHOPPING CENTER RECIFE LTDA,51020280,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
PLIM PIZZAS E MASSAS,RESTAURANTE E PIZZARIA BRASILIA LTDA,51180030,-8.1048683,-34.9137061,IMBIRIBEIRA,"RUA PARIS, 552"
PLIM PIZZAS E MASSAS,D P RESTAURANTES LTDA,51020280,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
POBRE JUAN,MARROB RESTAURANTE E GRILL NORDESTE LTDA.,51110160,-8.0859828,-34.8941406,PINA,"AVENIDA REPUBLICA DO LIBANO, 251"
POETA,RIO BRANCO MERCANTIL ALIMENTOS LTDA,50030310,-8.0627672,-34.8736329,RECIFE,"AVENIDA RIO BRANCO, 243"
POMODORO PIZZARIA & RESTAURANTE,ANALICE GOMES VIEIRA,52040010,-8.0308573,-34.8820957,CAMPO GRANDE,"RUA MARQUES DE ABRANTES, 353"
PONTEIO GRILL,RESTAURANTE PONTEIO LTDA,51030020,-8.1302383,-34.9029151,BOA VIAGEM,"AVENIDA VISCONDE DE JEQUITINHONHA, 138"
PONTO CENTRAL,FAB & SILVESTRE BAR E RESTAURANTE LTDA,52050310,-8.0348109,-34.8925581,ENCRUZILHADA,"RUA INACIO GALVAO DOS SANTOS, 290"
PONTO DE ENCONTRO BAIANO,A.N. NEGREIROS RESTAURANTE,52120010,-8.0265251,-34.8951812,ARRUDA,"RUA BOLIVAR, 127"
PONTO DE ENCONTRO REFEICOES & LANCHES,PONTO DE ENCONTRO REFEICOES & LANCHES LTDA,50020480,-8.0695853,-34.880944,SAO JOSE,"RUA VIDAL DE NEGREIROS, 80"
PONTO FINAL BAR E RESTAURANTE,PONTO FINAL BAR E RESTAURANTE LTDA,50050120,-8.0551808,-34.8867719,SANTO AMARO,"RUA GENERAL JOSE SEMEAO, 115"
PONTO GAUCO,RESTAURANTE PONTO DO GAUCHO LTDA,50750360,-8.0616711,-34.9075785,ILHA DO RETIRO,"ESTRADA DOS REMEDIOS, 1955"
POP SHOW DANCING,L ROCHA SILVA,50920310,-8.0871243,-34.9527022,TEJIPIO,"AVENIDA LIBERDADE, 659"
PORCO JONES,PJONES ALIMENTOS E BEBIDAS LTDA,51021480,-8.1295591,-34.9032162,BOA VIAGEM,"RUA OLAVO BILAC, 20"
PORKS BOA VIAGEM,LIMARECIFE COMERCIO DE BEBIDAS E ALIMENTOS LTDA,51021480,-8.1295591,-34.9032162,BOA VIAGEM,"RUA OLAVO BILAC, 20"
PORKS BOA VIAGEM,BRAZIL SUL ALIMENTOS E BEBIDAS LTDA,51021480,-8.1295591,-34.9032162,BOA VIAGEM,"RUA OLAVO BILAC, 20"
PORTAL DA CARNE DE SOL,PORTAL DA CARNE DE SOL LTDA,50721390,-8.0471183,-34.9289275,CORDEIRO,"RUA PACIFICO DA LUZ, 104"
PORTAL DA PICANHA,M F SILVA RESTAURANTE LTDA,52051155,-8.0357785,-34.899257,TAMARINEIRA,"RUA CAPITAO SAMPAIO XAVIER, 453"
PORTAL DA PICANHA,N F BARROS RESTAURANTE LTDA,52041800,-8.0348483,-34.9014058,TAMARINEIRA,"RUA DOUTOR JOSE MARIA, 911"
PORTAL DO DERBY,RESTAURANTE PORTAL DOS ALIMENTOS LTDA,52010220,-8.0540121,-34.9010963,DERBY,"RUA MANOEL CAETANO, 119"
PORTAL DO PICUI,BC CHURRASCARIA LTDA,51190060,-8.1141612,-34.9192846,IPSEP,"RUA FELIX PACHECO, 261"
PORTEIRA PRIME,A PORTEIRA BV RESTAURANTE LTDA,51020170,-8.1103235,-34.8947294,BOA VIAGEM,"RUA PROFESSOR EDUARDO WANDERLEY FILHO, 336"
PORTEIRA PRIME,PORTEIRA PRIME COZINHA INDUSTRIAL LTDA,51020170,-8.1103235,-34.8947294,BOA VIAGEM,"RUA PROFESSOR EDUARDO WANDERLEY FILHO, 336"
PORTO CANOAS,PORTO CANOAS EMPREENDIMENTOS TURISTICOS LTDA,50020455,-8.0697391,-34.8753427,SAO JOSE,"CAIS DE SANTA RITA, SN"
PORTO DO SABOR SELF SERVICE,PORTO DO SABOR COMERCIO DE ALIMENTOS E EVENTOS LTDA,52020220,-8.038554,-34.8995092,AFLITOS,"AVENIDA CONSELHEIRO ROSA E SILVA, 1460"
PORTO FELIZ INDUSTRIA E COMERCIO,PORTO FELIZ COMERCIO DE ALIMENTOS LTDA,51210010,-8.1338268,-34.916994,IBURA,"PRACA MINISTRO SALGADO FILHO, S/N"
PORTO RESTAURANTE,J CARLOS DOS SANTOS RESTAURANTE,50721110,-8.052299,-34.9281039,CORDEIRO,"ESTRADA DO FORTE DO ARRAIAL NOVO DO BOM JESUS, 555"
PPM RESTAURANTE,PPM RESTAURANTES LTDA,51020280,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
PRACA DO VINHO,PRACA DO VINHO BISTRO RESTAURANTE LTDA,52050150,-8.0331883,-34.9070344,TAMARINEIRA,"RUA PADRE ROMA, 430"
PRATO CHEIO,ROSE CARLA D SOARES RESTAURANTE PRATO CHEIO LTDA,50900480,-8.0925733,-34.9451469,BARRO,"RUA PERY, 40"
PRATO DA MOCA,SAF ALIMENTOS LTDA,51130110,-8.1431772,-34.9145563,BOA VIAGEM,"RUA CAMBOIM, 970"
PRIMAVERA DELIVERY,JOSE ERALDO PRIMAVERA NETO 08025201465,50060100,-8.0648366,-34.9200251,Bongi,"RUA Isaac Markman, 432"
PRIMUS COFFEE LOUNGE E RESTAURANT GOLD,PRIMUS COFFEE LOUNGE E RESTAURANT GOLD LTDA,52070006,-8.0269956,-34.9245154,CASA AMARELA,"RUA ALTINO, 75"
PRODUCAO RECBV,GRUPO MARE RESTAURANTE E SERVICOS LTDA,51021380,-8.1280693,-34.9006805,BOA VIAGEM,"RUA CORONEL BENEDITO CHAVES, 182"
PUXINANA,M C MOREIRA RESTAURANTE E PIZZARIA,50050570,-8.057998,-34.8799092,SANTO AMARO,"RUA MAMEDE SIMOES, 204"
QU4RTETUS,GEORGE ANDRE COUTO PEREIRA,50781524,-8.0814759,-34.9350103,ESTANCIA,"RUA DR GUSTAVO PINTO, 290"
QU4RTETUS RESTAURANTE,QU4RTETUS RESTAURANTE E EMPREENDIMENTOS LTDA,51020350,-8.1179724,-34.9023839,BOA VIAGEM,"RUA ANTONIO LUMAC DO MONTE, 203"
QUARTETO ARRETADO UNIVERSITARIO,LUCIA DE FATIMA DE SOUZA DA SILVA,50740467,-8.0525748,-34.9554751,CIDADE UNIVERSITARIA,"RUA ACADEMICO HELIO RAMOS, 87"
QUERO-QUERO GOURMET,MCIR REFEICOES COMERCIO DE ALIMENTOS LTDA,50070400,-8.0644795,-34.8933304,ILHA DO LEITE,"RUA MINAS GERAIS, 56"
QUINA DA LINGUICA,JOAO PAULO ALMEIDA DE BARROS E SILVA,50741310,-8.0496604,-34.9577713,VARZEA,"RUA BULANDY, 62"
QUINTAL COZINHA PRA TORAR,H W LAPORTE REIFEICOES COLETIVAS LTDA,52040250,-8.0293829,-34.8799611,CAMPO GRANDE,"RUA OLIVEIRA FONSECA, 217"
QUINTAL DO MANINHO,QUINTAL DO PICUI BAR & RESTAURANTE LTDA,51030340,-8.138268,-34.9062881,BOA VIAGEM,"RUA CONEGO ROMEU, QC L24"
QUINTAL NORDESTINO,QUINTAL NORDESTINO CULINARIA REGIONAL LTDA,50710480,-8.0483293,-34.9104171,MADALENA,"RUA ANTONIO VIEIRA, 164"
QUINTAL NORDESTINO,JG CULINARIA REGIONAL LTDA,50710480,-8.0483293,-34.9104171,MADALENA,"RUA ANTONIO VIEIRA, 164"
QUITANDA,QUITANDA ALIMENTOS LTDA,51020900,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
R & J RESTAURANTE E LANCHONETE,R&J RESTAURANTE E LANCHONETE LTDA,50010390,-8.0648187,-34.8796339,SANTO ANTONIO,"RUA CAMBOA DO CARMO, 60"
RAIZ NORDESTINA RESTAURANTE E CAFETERIA,E S DO NASCIMENTO RESTAURANTE,51320180,-8.1272863,-34.9500911,COHAB,"RUA VALE DO ITAJAI, 140"
RAMON BAR E HOSTEL,RAMON COMERCIO E TURISMO LTDA,51021480,-8.1295591,-34.9032162,BOA VIAGEM,"RUA OLAVO BILAC, 0020"
RASPA DE TACHO,ESPERTAS COMERCIO E REPRESENTACAO LTDA,50020340,-8.0697769,-34.8786516,SAO JOSE,"RUA DO NOGUEIRA, 191"
RAVELLO,ALMEIDA E BARROS SABORES LTDA,51160030,-8.1099915,-34.9049083,IMBIRIBEIRA,"RUA MOISES CORREA SILVA, 141"
REAL BOTEQUIM,CASA FORTE COMERCIO DE ALIMENTOS LTDA,52061900,-8.0336406,-34.9227578,CASA FORTE,"AVENIDA DEZESSETE DE AGOSTO, 1761"
REC PIZZA,B & F ALIMENTACAO LTDA,50791355,-8.0856641,-34.9720531,COQUEIRAL,"RUA ANANIAS CATANHO, 124"
RECANTO DA BRASA,JULIO CESAR RAULINO DE SOUSA LTDA,50010390,-8.0654795,-34.8796033,SANTO ANTÔNIO,"RUA CAMBOA DO CARMO, 132"
RECANTO DA PICANHA CHURRASCARIA E PIZZARIA,SOUZA E PEREIRA CHURRASCARIA LTDA,50771455,-8.0921667,-34.9264696,ESTANCIA,"AVENIDA TAPAJOS, 304"
RECANTO DO GAUCHO,RESTAURANTE DO GAUCHO LTDA,52090320,-8.0133213,-34.9293999,MACAXEIRA,"AVENIDA JOSE AMERICO DE ALMEIDA, 31"
RECANTO DO MATUTO,BAR E RESTAURANTE RECANTO DO MATUTO LTDA,50830380,-8.0713589,-34.9099113,AFOGADOS,"RUA CORONEL ALFREDO DUARTE, 221"
RECANTO DO SABOR,LARISSA A. ROCHA LTDA,50790640,-7.5617238,-34.9952357,CURADO,"RODOVIA BR CENTO E UM, 550"
RECANTO PARAIBANO,LIBRE - RESTAURANTE E CACHACARIA LTDA,52061540,-8.034739,-34.9119334,PARNAMIRIM,"AVENIDA 17 DE AGOSTO, 248"
RED BAKE,RIORED COMERCIO DE ALIMENTOS LTDA,51110160,-8.0859828,-34.8941406,PINA,"AVENIDA REPUBLICA DO LIBANO, 251"
REDBAKE,LEGA COMERCIO DE ALIMENTOS LTDA,50110000,-8.0380464,-34.8719356,SANTO AMARO,"AVENIDA GOVERNADOR AGAMENON MAGALHAES, 153"
REDBAKE,FERGOM LANCHONETE LTDA,51020280,-8.1197249,-34.9032262,BOA VIAGEM,"RUA PADRE CARAPUCEIRO, 777"
REFEICOES ALLIMENTA,SALSA & PIMENTA COMEDORIA LTDA,51021040,-8.1237165,-34.9002362,BOA VIAGEM,"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, 4060"
REFEICOES SABOR & SABORES,REFEICOES SABOR & SABORES RESTAURANTE LTDA,50741080,-8.050838,-34.9637997,VARZEA,"RUA BARAO DE MURIBECA, 50"
REI DO ARRUMADINHO,L M CAVALCANTE DE MENEZES,52130325,-8.0368856,-34.8911454,BEBERIBE,"AVENIDA BEBERIBE SANTA CRUZ FUTEBOL CLUBE, 4315"
REI DO BEIRUTE,REI DO BEIRUTE LTDA,52130325,-8.0044738,-34.8951262,BEBERIBE,"AVENIDA BEBERIBE, 4050"
RESTAURANTE & PIZZARIA GUARARAPES,RESTAURANTE & PIZZARIA GUARARAPES LTDA,51030320,-8.1399137,-34.9053874,BOA VIAGEM,"RUA DOUTOR LUIZ INACIO PESSOA DE MELO, 81"
RESTAURANTE 100 POR CENTO JESUS,MARIA APARECIDA DAVI COSTA,51110000,-8.0862452,-34.8855933,PINA,"AVENIDA ANTONIO DE GOES, 125"
RESTAURANTE AMADEU,LBRB COMERCIO DE REFEICOES LTDA,51020180,-8.1120801,-34.8947171,BOA VIAGEM,"RUA PROFESSOR JOSE BRANDAO, 409"
RESTAURANTE ARRETADO DE BOM,J. E. FREITAS DA SILVA,52060320,-8.0350631,-34.9157807,CASA FORTE,"RUA ALFREDO FERNANDES, 186"
RESTAURANTE ARRETADO DE BOM,MENEZES RESTAURANTE LTDA,50820000,-8.0766236,-34.9108845,AFOGADOS,"RUA VINTE E UM DE ABRIL, 420"
RESTAURANTE ARSENAL DO SABOR,RESTAURANTE ARSENAL DO SABOR LTDA,50030210,-8.0613809,-34.8718857,RECIFE,"RUA DA GUIA, 165"
RESTAURANTE BARCARELLO,RESTAURANTE BARCARELLO LTDA,52120600,-8.0248843,-34.891942,ARRUDA,"RUA JOSE AUSTREGESILO, 47"
RESTAURANTE BARGACO,BARGACO COMERCIO E TURISMO LTDA,50020455,-8.0709159,-34.8774517,SAO JOSE,"CAIS DE SANTA RITA, 365"
RESTAURANTE BLUNELLE RECIFE,COUTINHO LTDA,52020070,-8.0439353,-34.8926962,ESPINHEIRO,"RUA BARAO DE ITAMARACA, 21"
RESTAURANTE BODE DELIVERY,RESTAURANTE BODE DELIVERY LTDA,50810000,-8.0412504,-34.9584405,VARZEA,"AVENIDA AFONSO OLINDENSE, 1090"
RESTAURANTE BODE DO PARAIBANO,RESTAURANTE BODE DO PARAIBANO LTDA,50731250,-8.0413433,-34.9357382,IPUTINGA,"RUA PROFESSOR BANDEIRA, 520"
RESTAURANTE BOI VOADOR,"CHURRASCARIA, PIZZARIA, BAR E RESTAURANTE BOI VOADOR LTDA",50030210,-8.0620009,-34.8722005,RECIFE,"RUA DA GUIA, 93"
RESTAURANTE BOM SABOR,JOSE ERMIRIO VIEIRA FILHO RESTAURANTE,50020715,-8.0679797,-34.8797391,SAO JOSE,"RUA TOBIAS BARRETO, 381"
RESTAURANTE BOM SABOR,C G DA MOTA RESTAURANTE,50070400,-8.0645656,-34.8932649,ILHA DO LEITE,"RUA MINAS GERAIS, 44"
RESTAURANTE BOM SABOR,M G DE A PEREIRA SILVA RESTAURANTE,50070215,-8.0632052,-34.8952408,PAISSANDU,"RUA ESTADO DE ISRAEL, 388"
RESTAURANTE BRASILEIRO,D P BIONDI VIEIRA RESTAURANTE,50010110,-8.0647762,-34.8800437,SANTO ANTONIO,"RUA DAS FLORES, 59"
RESTAURANTE BUDEGA DA BOA VISTA,60.433.400 NATANAEL DA SILVA LOPES,50070000,-8.0608256,-34.8884231,BOA VISTA,"AVENIDA MANOEL BORBA, 305"
RESTAURANTE C.F,YAMEI SHEN LTDA,51110150,-8.0868021,-34.8936295,PINA,"AVENIDA CONSUL JOSEPH NOUJAIM, 97"
RESTAURANTE CACHOEIRA,IVANETE MARCELINA DOS SANTOS CAVALCANTI,52131150,-8.0025585,-34.897361,BEBERIBE,"RUA URIEL DE HOLANDA, 932"
RESTAURANTE CAMARADAS,PAULO BERNARDINO DA SILVA RESTAURANTE,51011031,-8.10094,-34.8865254,PINA,"AVENIDA CONSELHEIRO AGUIAR, 1205"
RESTAURANTE CASA DA PICANHA,ANTAO PAULO DA SILVA,51110140,-8.0880377,-34.8867883,PINA,"RUA SANTOS LEITE, 88"
RESTAURANTE CASA DA VOVO,SARAH CAMYLA FERNANDES MATA,50020000,-8.069061,-34.8817756,SAO JOSE,"AVENIDA DANTAS BARRETO, 1052"
RESTAURANTE CASA MORIM,RESTAURANTE CASA MORIM LTDA,50741170,-8.0481322,-34.9569228,VARZEA,"RUA TEIXEIRA DE FREITAS, 83"
RESTAURANTE CASTELO DO CAMARAO,SOARES & MACHADO RESTAURANTE LTDA,51010040,-8.0817339,-34.8787295,BRASILIA TEIMOSA,"RUA BADEJO, 444"
RESTAURANTE CRAVO E CANELA,LUANA ISABELA ALIMENTOS E REFEICOES LTDA,50060120,-7.5617238,-34.9952357,BOA VISTA,"RUA IMPERATRIZ TEREZA CRISTINA, 27"
RESTAURANTE D.MONICA,M J ANGELO DA SILVA,51020350,-8.1183622,-34.9022612,BOA VIAGEM,"RUA ANTONIO LUMACK DO MONTE, 203"
RESTAURANTE DA ILHA,R T DE ARRUDA RESTAURANTE,50750500,-8.0614493,-34.902658,ILHA DO RETIRO,"AVENIDA SPORT CLUBE DO RECIFE, S/N"
RESTAURANTE DAS ANTIGAS,SAMUEL SANTANA DE MELO RESTAURANTE,51030140,-8.1358785,-34.9122169,BOA VIAGEM,"RUA WALDEMAR NERY CARNEIRO MONTEIRO, 324"
RESTAURANTE DIVINO TEMPERO,RESTAURANTE DIVINO TEMPERO LTDA,52040000,-8.0320394,-34.8783617,CAMPO GRANDE,"ESTRADA DE BELEM, 1533"
RESTAURANTE DO BIU,SEVERINO ALVES DE SALES,51220120,-8.1072947,-34.9286406,IBURA,"AVENIDA DOM HELDER CAMERA, 200"
RESTAURANTE DO BIU,JANICLEA DE SOUZA E SILVA,50790900,-7.5617238,-34.9952357,CURADO,"RODOVIA BR-101 SUL 550, S/N"
RESTAURANTE DO IRMAO,LINDALVA M S SILVA - RESTAURANTE,50710220,-8.0429065,-34.9090033,TORRE,"RUA VERMELHA, 2"
RESTAURANTE DO NADO,R. REIS DE SOUZA RESTAURANTE,50920570,-8.0878417,-34.9628498,TEJIPIO,"RUA PIRAMBOIA, 731"
RESTAURANTE DO PICUI,F. O. G. AZEVEDO RESTAURANTE LTDA,50810000,-8.0438602,-34.9590169,VARZEA,"AVENIDA AFONSO OLINDENSE, 1524"
RESTAURANTE DO TOINHAO,RESTAURANTE DO TOINHAO LTDA,52041115,-8.0350231,-34.8932774,ENCRUZILHADA,"RUA AMARO COUTINHO, 310"
RESTAURANTE DOM ALBERT,DOM ALBERT ALIMENTOS LTDA,50720625,-7.5617238,-34.9952357,ILHA DO LEITE,"RUA FREI MATIAS TEVES, 280"
RESTAURANTE DOM MANOEL,EDIVALDO M DE ALBUQUERQUE FILHO LTDA,50920592,-8.087442,-34.9619882,TEJIPIO,"RUA APRIGIO GUIMARAES, 309"
RESTAURANTE DONA CHITA,RESTAURANTE DONA CHITA LTDA,50720090,-8.0612085,-34.9090666,MADALENA,"RUA MONSENHOR JULIO MARIA, 315"
RESTAURANTE E CAFE MICHELANGELO,MICHELANGELO COMERCIO DE ALIMENTOS LTDA,50740020,-8.046003,-34.9465381,VARZEA,"RUA PROFESSOR ANTONIO COELHO, 925"
RESTAURANTE E CHOPPERIA CIA DO CHOPP,CHRISTON RESTAURANTE LTDA,51020020,-8.1137404,-34.8928426,BOA VIAGEM,"AVENIDA CONSELHEIRO AGUIAR, 2775"
RESTAURANTE E LANCHONETE BELAS ARTES V,OTACIANA ARRUDA DOS SANTOS SILVA RESTAURANTES,50020560,-8.0667757,-34.8772603,SAO JOSE,"RUA DO RANGEL, 197"
RESTAURANTE E PIZZARIA DUDEK,NNA PIZZARIA E RESTAURANTE LTDA,51350450,-8.1105764,-34.9235527,IPSEP,"AVENIDA GENERAL BENTO DA GAMA, 340"
RESTAURANTE E PIZZARIA DUDEK,RESTAURANTE E PIZZARIA DUDEK LTDA,51240490,-8.1213547,-34.9345135,IBURA,"RUA EMILIO MONTEIRO FONSECA, 441"
RESTAURANTE E SOPARIA FAMILIA PEREIRA GOURMET,RESTAURANTE & SOPARIA FAMILIA PEREIRA LTDA,50970000,-8.0352042,-34.9807509,VARZEA,"RUA VALE DO SIRIJI, 75"
RESTAURANTE FAMA DO BODE,FAMA DO BODE RESTAURANTE LTDA,50690000,-8.0373523,-34.9405011,IPUTINGA,"ESTRADA DO BARBALHO, 236"
RESTAURANTE GOTA SERENA,J R COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,50670370,-8.0428287,-34.9424001,IPUTINGA,"RUA MANOEL JOAQUIM DE ALMEIDA, 385"
RESTAURANTE GRAND VICTOIRE,RESTAURANTE GRAND VICTOIRE LTDA,50050290,-8.047575,-34.8912991,BOA VISTA,"AVENIDA GOVERNADOR AGAMENON MAGALHAES, 2807"
RESTAURANTE ILHA DO SABOR,RESTAURANTE ILHA DO SABOR LTDA,52010020,-8.0627697,-34.8983392,PAISSANDU,"RUA SAO FRANCISCO, 60"
RESTAURANTE IMPERADOR,MC DONATO E CIA LTDA,50010240,-8.0636832,-34.8768939,SANTO ANTONIO,"RUA IMPERADOR PEDRO II, 503"
RESTAURANTE IPANEMA,IPANEMA RESTAURANTE E LANCHONETE LTDA,50950030,-8.0639138,-34.9879388,VARZEA,"AVENIDA PREFEITO ANTONIO PEREIRA, 705"
RESTAURANTE JAPONES TEPPANYAKI,M AUGUSTO RESTAURANTE LTDA,52041015,-8.0375913,-34.8927724,ENCRUZILHADA,"RUA DOUTOR JOSE MARIA, 151"
RESTAURANTE JARDINS,INFUSO COZINHA COM ALMA LTDA,52020160,-8.0467127,-34.8932444,ESPINHEIRO,"RUA JOSE LUIZ DA SILVEIRA BARROS, 88"
RESTAURANTE MAMULENGO,A C S LUNA RESTAURANTE LTDA,50070410,-8.0636496,-34.8941761,ILHA DO LEITE,"RUA JORNALISTA TRAJANO CHACON, 352"
RESTAURANTE MANGAI,RECF5 COMERCIO DE ALIMENTOS LTDA,51111020,-8.1055413,-34.8899045,BOA VIAGEM,"AVENIDA ENGENHEIRO DOMINGOS FERREIRA, 1910"
RESTAURANTE MARACAJU,RESTAURANTES MARACAJU LTDA,51020021,-8.1172943,-34.8951035,BOA VIAGEM,"AVENIDA CONS AGUIAR, 3197"
RESTAURANTE MARIA,RESTAURANTE MARIA LTDA,52120090,-8.02419,-34.891086,ARRUDA,"RUA DO TRIUNFO, 285"
RESTAURANTE MARRUA,RECIFE COMESTIVEIS LTDA,51021330,-8.124331,-34.9022336,BOA VIAGEM,"RUA ERNESTO DE PAULA SANTOS, 183"
RESTAURANTE MELO,SILVINO LOPES DE MELLO RESTAURANTE LTDA,50030210,-8.0613809,-34.8718857,RECIFE,"RUA DA GUIA, 165"
RESTAURANTE MESA FARTA,ELAINE BATISTA DE LEMOS LEITE,51150580,-8.1267,-34.9148199,IMBIRIBEIRA,"RUA NESTOR MOREIRA, 47"
